Company name,Company ISIN,Headquarters,Region,Industry,Total score (max. 20),Human Rights (max. 10),Decent Work (max. 6),Ethical Conduct (max. 4),Transformation / Benchmark,Research period,Engagement Status ,UNGC Membership,Business Roundtable Membership,Food and Agriculture,Decarbonisation and Energy,Digital Inclusion,Nature and Biodiverisity,Urban,Finance,Gender,CHRB,Access to Seeds,Seafood Stewardship Index
Inpex,JP3294460005,Japan,East Asia & Pacific,Oil and Gas,11,8,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,Yes,,,Yes,,,,,,Yes,,
Intel,US4581401001,United States of America,North America,Semiconductors,9.5,6.5,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,
Inter RAO,RU000A0JPNM1,Russian Federation,Europe & Central Asia,Electric Utilities,6,3,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,Yes,,,,,
Intercorp (InRetail),PAL1801171A1,Peru,Latin America & Caribbean,Retail,6,4.5,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
International Flavors & Fragrances (IFF),US4595061015,United States of America,North America,Food & Beverage,8,4,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Iseki,JP3139600005,Japan,East Asia & Pacific,Heavy Machinery & Electrical Equipment,1,0,0.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Israel Chemicals (ICL),IL0002810146,Israel,Middle East & North Africa,Agricultural Products,6.5,4,2,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
Itochu,JP3143600009,Japan,East Asia & Pacific,Conglomerates,7.5,4.5,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Itoham Yonekyu,JP3144500000,Japan,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
J.D. Heiskell & Company,,United States of America,North America,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
J.R. Simplot,,United States of America,North America,Food & Beverage,4.5,3,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Jacobs Douwe Egberts,,Netherlands,Europe & Central Asia,Food & Beverage,5.5,2.5,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
JBS,BRJBSSACNOR8,Brazil,Latin America & Caribbean,Food & Beverage,5,3,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
JCB,,United Kingdom,Europe & Central Asia,Heavy Machinery & Electrical Equipment,3,0.5,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
JD.com,US47215P1066,China,East Asia & Pacific,E-commerce,1.5,0,1,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Jeronimo Martins,PTJMT0AE0001,Portugal,Europe & Central Asia,Retail,7.5,3.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Jio,,India,South Asia,Telecommunication Services,4,2,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
JM SMUCKER,US8326964058,United States of America,North America,Food & Beverage,6.5,4,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Jollibee,PHY4466S1007,Philippines,East Asia & Pacific,Retail,4,2,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Juan Garcia Lax,,Germany,Europe & Central Asia,Food & Beverage,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Jumia,US48138M1053,Nigeria,Sub-Saharan Africa,E-commerce,2,0.5,1.5,0,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
K&S,DE000KSAG888,Germany,Europe & Central Asia,Agricultural Products,7,4,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Kansai Electric Power Company (KEPCO),JP3228600007,Japan,East Asia & Pacific,Electric Utilities,4,2.5,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
KDDI,JP3496400007,Japan,East Asia & Pacific,Telecommunication Services,13,9,2.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
KELLOGG'S,US4878361082,United States of America,North America,Food & Beverage,13,8.5,2.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Kernel Holding,LU0327357389,Ukraine,Europe & Central Asia,Agricultural Products,4,1,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Kerry Group,IE0004906560,Ireland,Europe & Central Asia,Food & Beverage,13,9.5,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Keurig Dr Pepper,US49271V1008,United States of America,North America,Food & Beverage,7.5,5,2,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Kewpie Corporation,JP3244800003,Japan,East Asia & Pacific,Food & Beverage,2.5,1,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Kia Motors Corporation,KR7000270009,Republic of Korea,East Asia & Pacific,Automotive,6,3.5,1,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,Yes,,
Kikkoman Corporation,JP3240400006,Japan,East Asia & Pacific,Food & Beverage,3,1.5,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Kirin Holdings,JP3258000003,Japan,East Asia & Pacific,Food & Beverage,10,7,2,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Koch Foods,,United States of America,North America,Food & Beverage,1,0,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Korea Electric Power Corporation (KEPCO/Hanjeon),KR7015760002,Republic of Korea,East Asia & Pacific,Electric Utilities,8.5,6.5,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,Yes,,,,,
KPN,NL0000009082,Netherlands,Europe & Central Asia,Telecommunication Services,7,3.5,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Kraft Heinz,US5007541064,United States of America,North America,Food & Beverage,8,5.5,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,Yes,,Yes,,,Yes,,,,Yes,,
Kroger,US5010441013,United States of America,North America,Retail,7.5,4,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,Yes,,
KT,KR7030200000,Republic of Korea,East Asia & Pacific,Telecommunication Services,12,9,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
Kubota,JP3266400005,Japan,East Asia & Pacific,Heavy Machinery & Electrical Equipment,4,1,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Kuwait Petroleum Corporation (Q8),,Kuwait,Middle East & North Africa,Oil and Gas,2,0,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
KWEICHOW MOUTAI,CNE0000018R8,China,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,Yes,,
KWS,DE0007074007,Germany,Europe & Central Asia,Agricultural Products,5.5,2,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Kyokuyo,JP3257200000,Japan,East Asia & Pacific,Food & Beverage,1.5,1,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,Yes
Kyushu Electric Power,JP3246400000,Japan,East Asia & Pacific,Electric Utilities,1.5,0,1.5,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,Yes,,,,,
Lactalis,,France,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Lamb Weston,US5132721045,United States of America,North America,Food & Beverage,2.5,1.5,0.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Land O'Lakes,,United States of America,North America,Food & Beverage,5.5,3.5,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,Yes,Yes,,,Yes,,,,,,
LDC Groupe,FR0013204336,France,Europe & Central Asia,Food & Beverage,4,1.5,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Lenovo,HK0992009065,China,East Asia & Pacific,Hardware,6.5,3,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,Yes,,,,,,
Les Mousquetaires,,France,Europe & Central Asia,Retail,1,0,0.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
LG,KR7066570003,Republic of Korea,East Asia & Pacific,Hardware,5.5,3.5,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
Liberty Global,GB00B8W67B19,United Kingdom,Europe & Central Asia,Telecommunication Services,7.5,4,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Limagrain,,France,Europe & Central Asia,Agricultural Products,3.5,0.5,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,Yes,
Lindt & Sprüngli,CH0010570759,Switzerland,Europe & Central Asia,Food & Beverage,6,2,2.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
LINGYUNHAI SUGAR GROUP,,China,East Asia & Pacific,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Logitech,CH0025751329,Switzerland,Europe & Central Asia,Hardware,6.5,3,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,Yes,,,,,,
Lotte Corporation,KR7004990008,Republic of Korea,East Asia & Pacific,Food & Beverage,4.5,2,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Louis Dreyfus Company,,Netherlands,Europe & Central Asia,Agricultural Products,4,2,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
LOVOL,,China,East Asia & Pacific,Heavy Machinery & Electrical Equipment,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Lukoil,RU0009024277,Russian Federation,Europe & Central Asia,Oil and Gas,9.5,4,1.5,4,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,Yes,,,Yes,,Yes,,,,Yes,,
Lumen,US1567001060,United States of America,North America,Telecommunication Services,7.5,4,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
M Dias Branco,BRMDIAACNOR7,Brazil,Latin America & Caribbean,Food & Beverage,5.5,3,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Magnit,RU000A0JKQU8,Russian Federation,Europe & Central Asia,Retail,7,3,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Mahindra & Mahindra (Automotive),INE101A01026,India,South Asia,Automobiles & Components,6.5,4,2,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,Yes,,
Mahindra and Mahindra,INE101A01026,India,South Asia,Automobiles & Components,5.5,3,2,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Marathon Oil,US5658491064,United States of America,North America,Oil and Gas,5.5,3,1.5,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Marathon Petroleum Corporation,US56585A1025,United States of America,North America,Oil and Gas,8,4.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,,,,,,
Marfrig,BRMRFGACNOR0,Brazil,Latin America & Caribbean,Food & Beverage,3.5,2,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Mars,,United States of America,North America,Food & Beverage,5.5,3,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Marubeni Corporation,JP3877600001,Japan,East Asia & Pacific,Conglomerates,4.5,3,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,Yes
Maruha Nichiro,JP3876600002,Japan,East Asia & Pacific,Food & Beverage,4,1.5,1.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
Mazda Motor Corporation,JP3868400007,Japan,East Asia & Pacific,Automotive,3,1,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
McCain Foods,,Canada,North America,Food & Beverage,6,2.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
McCormick,US5797802064,United States of America,North America,Food & Beverage,5.5,2.5,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,Yes,Yes,,,Yes,,,,Yes,,
McDonald's,US5801351017,United States of America,North America,Retail,8.5,6,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,,Yes,Yes,,,Yes,,,,Yes,,
MegaFon,RU000A0JS942,Russian Federation,Europe & Central Asia,Telecommunication Services,3.5,2,0.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Megmilk Snow Brand,JP3947800003,Japan,East Asia & Pacific,Food & Beverage,2.5,1,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Meiji,JP3918000005,Japan,East Asia & Pacific,Food & Beverage,7,3.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Meituan,KYG596691041,China,East Asia & Pacific,E-commerce,1,0,0.5,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,Yes,,,,,
Mercado Libre,US58733R1023,Argentina,Latin America & Caribbean,E-commerce,6,3,2,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
Mercadona,,Spain,Europe & Central Asia,Retail,6.5,2,2.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
METRO AG,DE000BFB0019,Germany,Europe & Central Asia,Retail,8,4,2.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Mewah,KYG6074A1085,Singapore,East Asia & Pacific,Agricultural Products,5,3.5,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
MHP,US55302T2042,Ukraine,Europe & Central Asia,Food & Beverage,7,3.5,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Microsoft,US5949181045,United States of America,North America,Software & IT Services,13,10,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,,
Migros,,Switzerland,Europe & Central Asia,Retail,3,1,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Millicom,LU0038705702,Luxembourg,Europe & Central Asia,Telecommunication Services,9,6.5,1.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Minerva,BRBEEFACNOR6,Brazil,Latin America & Caribbean,Food & Beverage,7,3,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Mitr Phol Group (Mitr Phol Sugar Corp),,Thailand,East Asia & Pacific,Agricultural Products,12.5,8.5,1,3,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Mitsubishi Corporation,JP3898400001,Japan,East Asia & Pacific,Conglomerates,5,3,1.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
Mitsubishi Motors Corporation,JP3899800001,Japan,East Asia & Pacific,Automotive,4.5,2.5,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,Yes,,
Mitsui,JP3893600001,Japan,East Asia & Pacific,Conglomerates,10.5,7,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
MOL Magyar Olajes Gazipari Nyrt,HU0000153937,Hungary,Europe & Central Asia,Oil and Gas,9,4.5,2,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,,,,,,
MOLINOS,ARP689251337,Argentina,Latin America & Caribbean,Food & Beverage,2,2,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
MOLSON COORS,US60871R2094,United States of America,North America,Food & Beverage,8.5,4,2.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Mondelez International,US6092071058,United States of America,North America,Food & Beverage,11.5,9,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,Yes,,
Mosaic,US61945C1036,United States of America,North America,Chemicals,7.5,3.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Mowi,NO0003054108,Norway,Europe & Central Asia,Food & Beverage,8,4,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,Yes
MTN,ZAE000042164,South Africa,Sub-Saharan Africa,Telecommunication Services,10,5.5,1.5,3,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
MTS,RU0007775219,Russian Federation,Europe & Central Asia,Telecommunication Services,6,3.5,1,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
Müller,,Germany,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
"Murugappa Group (Coromandel, EID Parry, Parry Agro)",,India,South Asia,Agricultural Products,1,1,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
Musim Mas,,Singapore,East Asia & Pacific,Agricultural Products,7.5,5,2,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Muyuan Foods,CNE100001RQ3,China,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
N/A,N/A,Germany,Europe & Central Asia,Apparel & Footwear,13,8.5,2.5,2,CHRB,,Yes,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,5,2.5,1,1.5,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,5.5,3,1,1.5,CHRB,,,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United Kingdom,Europe & Central Asia,Metals & Mining,15.5,9.5,3.5,2.5,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,China,East Asia & Pacific,Construction Materials & Supplies,1.5,0,1,0.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,China,East Asia & Pacific,Apparel & Footwear,0.5,0,0.5,0,CHRB,,Yes,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,7.5,3,2,2.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,Luxembourg,Europe & Central Asia,Metals & Mining,6,2,2,2,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Netherlands,Europe & Central Asia,Electronics,12.5,7.5,3,2,CHRB,,Yes - CHRB,,,,,,,,,,Yes,,
N/A,N/A,China,East Asia & Pacific,Electronics,1.5,0,1,0.5,CHRB,,,,,,,,,,,,Yes,,
N/A,N/A,United Kingdom,Europe & Central Asia,Apparel & Footwear,13,8,3,2,CHRB,,Yes - CHRB,Yes,,,,,,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Electronics,5.5,3.5,1,1,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United Kingdom,Europe & Central Asia,Apparel & Footwear,2.5,0,1.5,1,CHRB,,,Yes,,,,,,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,6.5,3.5,1.5,1.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,6,3.5,1.5,1,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,7,4,1,2,CHRB,,Yes - CHRB,,Yes,,,,,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Apparel & Footwear,12,8.5,2,1.5,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,6,3,1.5,1.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Metals & Mining,14,10,2.5,1.5,CHRB,,Yes - CHRB,Yes,Yes,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,13.5,9.5,2,2,CHRB,,Yes,Yes,Yes,,,,Yes,,,,Yes,,
N/A,N/A,Canada,North America,Apparel & Footwear,13.5,8.5,2.5,2.5,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,Switzerland,Europe & Central Asia,Metals & Mining,15,10,2,3,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Mexico,Latin America & Caribbean,Metals & Mining,8.5,4.5,1.5,2.5,CHRB,,Yes - CHRB,,,,,,,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,9,5,2.5,1.5,CHRB,,Yes,,Yes,,,,Yes,,,,Yes,,
N/A,N/A,Germany,Europe & Central Asia,Construction Materials & Supplies,6.5,4,1.5,1,CHRB,,Yes - CHRB,Yes,,,,,,,,,Yes,,
N/A,,China,East Asia & Pacific,Apparel & Footwear,0,0,0,0,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,Sweden,Europe & Central Asia,Apparel & Footwear,11.5,8,2.5,1,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,France,Europe & Central Asia,Apparel & Footwear,7,4,1.5,1.5,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Electronics,7,4,1.5,1.5,CHRB,,Yes - CHRB,Yes,,,,,Yes,Yes,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,,5,2.5,1.5,1,CHRB,,,,,,,,,,,,Yes,,
N/A,N/A,Germany,Europe & Central Asia,Apparel & Footwear,11,5,3,3,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,Spain,Europe & Central Asia,Apparel & Footwear,13,7.5,3,2.5,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Germany,Europe & Central Asia,Electronics,8,3.5,2,2.5,CHRB,,,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,France,Europe & Central Asia,Apparel & Footwear,11.5,6.5,2.5,2.5,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Heavy Machinery & Electrical Equipment,2,1,0.5,0.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,5,3,1,1,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Heavy Machinery & Electrical Equipment,6.5,3.5,1.5,1.5,CHRB,,,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,Switzerland,Europe & Central Asia,Construction Materials & Supplies,13,9.5,2,1.5,CHRB,,Yes - CHRB,Yes,,,,,,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,10,6,2,2,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,Poland,Europe & Central Asia,Apparel & Footwear,5,2.5,2,0.5,CHRB,,,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,11.5,7.5,2.5,1.5,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,France,Europe & Central Asia,Apparel & Footwear,8.5,5,2,1.5,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,6.5,3.5,2,1,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,United Kingdom,Europe & Central Asia,Retail,14,9.5,2.5,2,CHRB,,Yes,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,5,3,0.5,1.5,CHRB,,Yes - CHRB,Yes,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Electronics,7,3,2.5,1.5,CHRB,,Yes - CHRB,,Yes,,,,Yes,,,,Yes,,
N/A,N/A,South Africa,Sub-Saharan Africa,Apparel & Footwear,6,2,2.5,1.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Heavy Machinery & Electrical Equipment,9,6.5,1.5,1,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Metals & Mining,14.5,10,1.5,3,CHRB,,Yes - CHRB,Yes,,,,,,,,,Yes,,
N/A,N/A,United Kingdom,Europe & Central Asia,Apparel & Footwear,11.5,8,2,1.5,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,7,3.5,2,1.5,CHRB,,Yes,Yes,Yes,,,,Yes,,,,Yes,,
N/A,N/A,Japan,East Asia & Pacific,Metals & Mining,3.5,2,1.5,0,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,United States of America,North America,Apparel & Footwear,8.5,5,2.5,1,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
N/A,N/A,Russian Federation,Europe & Central Asia,Metals & Mining,7.5,4,2,1.5,CHRB,,,,,,,,Yes,,,,Yes,,
N/A,N/A,Russian Federation,Europe & Central Asia,Metals & Mining,7.5,3,2,2.5,CHRB,,Yes - CHRB,,,,,,Yes,,,,Yes,,
